comune,anno,genere,popolazione
Dimaro Folgarida  ,2023,Totale  ,2089
Dimaro Folgarida  ,2024,Maschi  ,1011
Dimaro Folgarida  ,2024,Femmine  ,1081
Dimaro Folgarida  ,2024,Totale  ,2092
Drena  ,2022,Maschi  ,297
Drena  ,2022,Femmine  ,290
Drena  ,2022,Totale  ,587
Drena  ,2023,Maschi  ,299
Drena  ,2023,Femmine  ,295
Drena  ,2023,Totale  ,594
Drena  ,2024,Maschi  ,298
Drena  ,2024,Femmine  ,300
Drena  ,2024,Totale  ,598
Dro  ,2022,Maschi  ,2490
Dro  ,2022,Femmine  ,2540
Dro  ,2022,Totale  ,5030
Dro  ,2023,Maschi  ,2484
Dro  ,2023,Femmine  ,2545
Dro  ,2023,Totale  ,5029
Dro  ,2024,Maschi  ,2502
Dro  ,2024,Femmine  ,2559
Dro  ,2024,Totale  ,5061
Fai della Paganella  ,2022,Maschi  ,443
Fai della Paganella  ,2022,Femmine  ,462
Fai della Paganella  ,2022,Totale  ,905
Fai della Paganella  ,2023,Maschi  ,463
Fai della Paganella  ,2023,Femmine  ,473
Fai della Paganella  ,2023,Totale  ,936
Fai della Paganella  ,2024,Maschi  ,465
Fai della Paganella  ,2024,Femmine  ,468
Fai della Paganella  ,2024,Totale  ,933
Fiavè  ,2022,Maschi  ,511
Fiavè  ,2022,Femmine  ,557
Fiavè  ,2022,Totale  ,1068
Fiavè  ,2023,Maschi  ,501
Fiavè  ,2023,Femmine  ,536
Fiavè  ,2023,Totale  ,1037
Fiavè  ,2024,Maschi  ,518
Fiavè  ,2024,Femmine  ,534
Fiavè  ,2024,Totale  ,1052
Fierozzo  ,2022,Maschi  ,252
Fierozzo  ,2022,Femmine  ,218
Fierozzo  ,2022,Totale  ,470
Fierozzo  ,2023,Maschi  ,254
Fierozzo  ,2023,Femmine  ,216
Fierozzo  ,2023,Totale  ,470
Fierozzo  ,2024,Maschi  ,249
Fierozzo  ,2024,Femmine  ,215
Fierozzo  ,2024,Totale  ,464
Folgaria  ,2022,Maschi  ,1526
Folgaria  ,2022,Femmine  ,1621
Folgaria  ,2022,Totale  ,3147
Folgaria  ,2023,Maschi  ,1538
Folgaria  ,2023,Femmine  ,1624
Folgaria  ,2023,Totale  ,3162
Folgaria  ,2024,Maschi  ,1551
Folgaria  ,2024,Femmine  ,1624
Folgaria  ,2024,Totale  ,3175
