,comune,anno,valore,lat,lon
309,TERRAGNOLO,2023,0.039492242595204514,NaN,NaN
310,TERRE D'ADIGE,2022,0.01643115346697338,NaN,NaN
311,TERRE D'ADIGE,2023,0.019659239842726082,NaN,NaN
312,TERZOLAS,2022,0.25,NaN,NaN
313,TERZOLAS,2023,0.2674050632911392,NaN,NaN
314,TESERO,2022,0.16547497446373852,NaN,NaN
315,TESERO,2023,0.7650033715441672,NaN,NaN
316,TIONE DI TRENTO,2022,0.05613362541073384,NaN,NaN
317,TIONE DI TRENTO,2023,0.06207459842090934,NaN,NaN
318,TON,2022,0.07088414634146341,NaN,NaN
319,TON,2023,0.07710280373831775,NaN,NaN
320,TORCEGNO,2022,0.5190058479532164,NaN,NaN
321,TORCEGNO,2023,0.5179856115107914,NaN,NaN
322,TRAMBILENO,2022,0.05794137695978187,NaN,NaN
323,TRAMBILENO,2023,0.0671186440677966,NaN,NaN
324,TRE VILLE,2022,1.1831501831501832,NaN,NaN
325,TRE VILLE,2023,0.4271062271062271,NaN,NaN
326,TRENTO,2022,0.06237748945666839,NaN,NaN
327,TRENTO,2023,0.0663865333074055,NaN,NaN
328,VALDAONE,2022,0.6562228024369017,NaN,NaN
329,VALDAONE,2023,0.12586805555555555,NaN,NaN
330,VALFLORIANA,2022,0.22362869198312235,NaN,NaN
331,VALFLORIANA,2023,0.18604651162790697,NaN,NaN
332,VALLARSA,2022,0.11207519884309472,NaN,NaN
333,VALLARSA,2023,0.11414213926776741,NaN,NaN
334,VALLELAGHI,2022,0.18585780525502318,NaN,NaN
335,VALLELAGHI,2023,0.22209414024975985,NaN,NaN
336,VARENA,2022,0.0,NaN,NaN
337,VARENA,2023,0.0,NaN,NaN
338,VERMIGLIO,2022,1.984958217270195,NaN,NaN
339,VERMIGLIO,2023,2.126689189189189,NaN,NaN
340,VIGNOLA-FALESINA,2022,0.8011049723756906,NaN,NaN
341,VIGNOLA-FALESINA,2023,0.8571428571428571,NaN,NaN
342,VILLA LAGARINA,2022,0.06364339087863953,NaN,NaN
343,VILLA LAGARINA,2023,0.06712962962962964,NaN,NaN
344,VILLE D'ANAUNIA,2022,0.08796785789807571,NaN,NaN
345,VILLE D'ANAUNIA,2023,0.10368956743002544,NaN,NaN
346,VOLANO,2022,0.001632386549134835,NaN,NaN
347,VOLANO,2023,0.004507405022537025,NaN,NaN
348,ZIANO DI FIEMME,2022,0.5699658703071673,NaN,NaN
349,ZIANO DI FIEMME,2023,0.5691519635742743,NaN,NaN
350,PROVINCIA,2022,0.0,NaN,NaN
351,PROVINCIA,2023,0.0,NaN,NaN
352,BORGO D'ANAUNIA,2022,0.5211661341853036,NaN,NaN
353,BORGO D'ANAUNIA,2023,0.5351888667992047,NaN,NaN
354,NOVELLA,2022,0.17146048589779392,NaN,NaN
355,NOVELLA,2023,0.1749652294853964,NaN,NaN
356,VILLE DI FIEMME,2022,0.888130451270383,NaN,NaN
357,VILLE DI FIEMME,2023,0.9130105900151286,NaN,NaN
