anno,comune,alberghieri strutture,alberghieri posti_letto,extra alb. Strutture,extra alb. Posti_letto,tot convenzionali strutture,tot convenzionali posti_letto,all. privati numero,all. privati posti_letto,all.disposizione numero,all. disposizione posti_letto,COMPLESSIVO numero,COMPLESSIVO posti_letto
2020,Dro,6,311,20,788,26,1099,33,138,46,196,105,1433
2020,Fai della Paganella,15,859,8,141,23,1,233,1133,261,1313,517,3446
2020,Fiavè,3,112,5,106,8,218,56,264,121,529,185,1011
2020,Fierozzo0Vlarötz,1,16,1,9,2,25,6,21,39,148,47,194
2020,Folgaria,45,3071,25,1139,70,421,1375,7399,1559,7993,3004,19602
2020,Fornace,1,11,0,0,1,11,17,100,68,375,86,486
2020,Frassilongo0Garait,2,40,3,24,5,64,9,25,76,300,90,389
2020,Garniga Terme,1,63,1,13,2,76,21,70,142,568,165,714
2020,Giovo,2,74,4,30,6,104,4,20,22,106,32,230
2020,Giustino,8,426,8,161,16,587,39,265,808,4042,863,4894
2020,Grigno,3,72,2,33,5,105,0,0,92,333,97,438
2020,Imer,4,117,6,450,10,567,128,575,133,569,271,1711
2020,Isera,0,0,6,68,6,68,2,6,79,372,87,446
2020,Lavarone,21,1031,8,659,29,169,439,2188,1223,603,1691,9908
2020,Lavis,4,225,14,247,18,472,2,8,0,0,20,480
2020,Ledro,29,974,45,3941,74,4915,1509,743,852,4238,2435,16583
2020,Levico Terme,37,3114,24,4505,61,7619,447,1897,459,1606,967,11122
2020,Livo,0,0,2,29,2,29,9,34,2,12,13,75
2020,Lona0Lases,1,24,0,0,1,24,6,24,22,88,29,136
2020,Luserna0Lusérn,1,27,2,40,3,67,24,93,54,147,81,307
2020,Madruzzo,1,50,6,81,7,131,48,240,159,709,214,108
2020,Malé,7,527,8,74,15,601,91,318,197,632,303,1551
2020,Massimeno,0,0,0,0,0,0,45,180,57,230,102,410
2020,Mazzin0Mazin,11,729,14,304,25,1033,42,136,1068,4442,1135,5611
2020,Mezzana,15,2048,19,2914,34,4962,357,983,1107,4313,1498,10258
2020,Mezzano,4,161,6,156,10,317,201,855,106,486,317,1658
2020,Mezzocorona,4,173,12,138,16,311,7,36,15,86,38,433
2020,Mezzolombardo,1,25,8,68,9,93,1,4,0,0,10,97
2020,Moena0Moena,54,3289,12,250,66,3539,778,3493,939,3756,1783,10788
2020,Molveno,39,2416,15,1015,54,3431,467,2049,58,188,579,5668
2020,Mori,1,19,9,177,10,196,18,98,74,353,102,647
2020,Nago0Torbole,51,3112,39,1968,90,508,193,765,164,666,447,6511
2020,Nogaredo,0,0,3,46,3,46,0,0,3,16,6,62
2020,Nomi,0,0,0,0,0,0,1,2,0,0,1,2
2020,Novaledo,0,0,1,8,1,8,0,0,16,65,17,73
2020,Novella,4,129,22,247,26,376,50,188,123,451,199,1015
2020,Ospedaletto,0,0,1,4,1,4,6,15,19,58,26,77
2020,Ossana,5,252,7,1012,12,1264,65,260,349,1396,426,292
2020,Palù del Fersina0Palai en Bersntol,1,24,2,40,3,64,15,53,8,32,26,149
2020,Panchià,6,327,2,14,8,341,69,286,138,609,215,1236
2020,Peio,25,1546,15,956,40,2502,491,2329,582,2827,1113,7658
2020,Pellizzano,3,155,7,185,10,340,74,308,268,1092,352,174
2020,Pelugo,0,0,2,138,2,138,44,142,52,156,98,436
2020,Pergine Valsugana,15,625,20,138,35,2005,97,479,182,475,314,2959
2020,Pieve di Bono0Prezzo,3,58,3,94,6,152,81,354,86,374,173,880
2020,Pieve Tesino,1,16,6,1019,7,1035,134,772,320,1627,461,3434
2020,Pinzolo,95,6409,30,1488,125,7897,2765,1205,201,8874,49,28821
2020,Pomarolo,0,0,1,54,1,54,4,14,22,92,27,160
2020,Porte di Rendena,3,100,4,496,7,596,201,848,319,1336,527,278
2020,Predaia,6,373,28,636,34,1009,570,2515,700,3102,1304,6626
2020,Predazzo,23,1689,19,19,42,3589,496,2411,790,3955,1328,9955
2020,Primiero San Martino di Castrozza,72,483,33,1487,105,6317,967,4559,2039,8707,3111,19583
2020,Rabbi,4,204,24,587,28,791,138,538,334,1437,500,2766
2020,Riva del Garda,74,6156,103,3839,177,9995,383,1488,501,2021,1061,13504
2020,Romeno,4,152,6,141,10,293,55,220,212,1018,277,1531
2020,Roncegno Terme,7,399,7,134,14,533,93,410,196,686,303,1629
2020,Ronchi Valsugana,1,20,1,10,2,30,0,0,76,304,78,334
2020,Ronzo0Chienis,2,60,5,57,7,117,30,160,190,890,227,1167
2020,Ronzone,3,168,3,45,6,213,96,384,480,191,582,2507
2020,Roverè della Luna,1,24,3,19,4,43,0,0,6,24,10,67
2020,Rovereto,7,517,39,721,46,1238,29,102,306,920,381,226
2020,Ruffrè0Mendola,3,93,3,166,6,259,31,148,291,128,328,1687
2020,Rumo,2,110,5,56,7,166,69,262,192,730,268,1158
2020,Sagron Mis,1,43,3,9,4,52,32,134,59,266,95,452
2020,Samone,1,25,0,0,1,25,17,86,39,192,57,303
2020,San Giovanni di Fassa0Sen Jan,79,4607,75,3592,154,8199,816,3568,1244,5599,2214,17366
2020,San Lorenzo Dorsino,8,457,11,392,19,849,192,792,204,870,415,2511
2020,San Michele all'Adige,2,71,7,87,9,158,0,0,18,94,27,252
2020,Sant'Orsola Terme,1,68,6,49,7,117,89,320,50,188,146,625
2020,Sanzeno,1,39,3,65,4,104,18,75,31,155,53,334
2020,Sarnonico,5,334,2,470,7,804,46,184,125,535,178,1523
2020,Scurelle,1,20,8,145,9,165,0,0,70,287,79,452
2020,Segonzano,1,75,7,158,8,233,4,13,118,459,130,705
2020,Sella Giudicarie,12,553,3,90,15,643,222,909,544,2164,781,3716
2020,Sfruz,1,25,3,86,4,111,37,168,199,904,240,1183
2020,Soraga di Fassa0Soraga,18,931,7,182,25,1113,134,610,177,770,336,2493
2020,Sover,1,48,1,8,2,56,18,64,128,520,148,640
2020,Spiazzo,4,108,8,344,12,452,345,162,526,2104,883,4176
2020,Spormaggiore,3,58,5,57,8,115,30,125,68,302,106,542
2020,Sporminore,2,39,2,25,4,64,7,30,12,53,23,147
2020,Stenico,3,365,6,93,9,458,90,265,270,780,369,1503
2020,Storo,2,101,4,93,6,194,32,110,197,480,235,784
2020,Strembo,1,23,2,59,3,82,406,2842,319,2604,728,5528
2020,Telve,2,58,6,103,8,161,27,140,207,101,242,1311
2020,Telve di Sopra,0,0,0,0,0,0,0,0,50,205,50,205
2020,Tenna,3,153,2,19,5,172,94,440,102,498,201,111
2020,Tenno,8,330,13,444,21,774,70,339,285,1266,376,2379
2020,Terragnolo,0,0,1,12,1,12,24,110,196,805,221,927
2020,Terre d'Adige,0,0,4,29,4,29,1,8,0,0,5,37
2020,Terzolas,1,93,3,114,4,207,25,95,40,144,69,446
2020,Tesero,13,1068,16,572,29,164,182,819,361,1627,572,4086
2020,Tione di Trento,3,55,6,96,9,151,23,110,159,840,191,1101
2020,Ton,0,0,6,61,6,61,1,3,0,0,7,64
2020,Torcegno,1,46,3,279,4,325,13,43,99,383,116,751
2020,Trambileno,0,0,1,85,1,85,0,0,91,360,92,445
2020,Tre Ville,12,746,9,386,21,1132,83,360,816,4405,920,5897
2020,Trento,37,3703,158,2553,195,6256,531,3001,212,1119,938,10376
2020,Valdaone,4,81,7,139,11,220,50,250,147,768,208,1238
2020,Valfloriana,0,0,4,62,4,62,16,72,64,268,84,402
2020,Vallarsa,4,120,6,101,10,221,115,735,575,4025,700,4981
2020,Vallelaghi,7,232,12,668,19,900,30,169,146,674,195,1743
2020,Vermiglio,28,2056,10,406,38,2462,154,559,834,2918,1026,5939
